Cod_setor;Situacao_setor;V001;V002;V003
355030808000069;1;58;0;0
355030808000070;1;42;0;0
355030808000071;1;48;0;0
355030808000072;1;26;0;0
355030808000073;1;15;0;0
355030808000075;1;109;0;0
355030808000076;1;42;0;0
355030808000077;1;77;1;0
355030808000078;1;63;0;0
355030808000079;1;92;0;0
355030809000001;1;65;0;0
355030809000002;1;56;0;0
355030809000003;1;61;2;0
355030809000004;1;86;0;0
355030809000005;1;51;0;0
355030809000006;1;54;1;0
355030809000007;1;35;0;0
355030809000008;1;57;0;0
355030809000009;1;115;1;0
355030809000010;1;69;2;0
355030809000011;1;128;0;1
355030809000012;1;51;0;0
355030809000013;1;65;0;0
355030809000014;1;86;1;0
355030809000015;1;88;0;0
355030809000016;1;31;1;0
355030809000017;1;62;0;0
355030809000018;1;107;1;0
355030809000019;1;90;0;0
355030809000020;1;104;0;1
355030809000021;1;444;0;0
355030809000022;1;155;3;1
355030809000023;1;105;1;0
355030809000024;1;78;0;0
355030809000025;1;72;0;0
355030809000026;1;129;2;0
355030809000027;1;160;0;0
355030809000028;1;38;0;0
355030809000029;1;67;0;0
355030809000030;1;66;0;1
355030809000031;1;54;5;0
355030809000032;1;60;3;0
355030809000033;1;101;0;0
355030809000034;1;144;1;0
355030809000035;1;92;1;0
355030809000036;1;114;0;0
355030809000037;1;210;0;0
355030809000038;1;72;2;5
355030809000039;1;100;5;0
355030809000040;1;109;0;0
355030809000041;1;75;0;0
355030809000042;1;21;0;0
355030809000043;1;144;0;0
355030809000044;1;317;2;2
355030809000045;1;167;0;0
355030809000046;1;1;0;0
355030809000047;1;20;0;0
355030809000048;1;14;0;0
355030809000049;1;60;0;0
355030809000050;1;65;0;0
355030810000001;1;62;1;0
355030810000002;1;61;0;0
355030810000003;1;18;0;1
355030810000004;1;257;0;0
355030810000005;1;71;1;3
355030810000006;1;90;0;6
355030810000007;1;63;0;0
355030810000008;1;103;0;0
355030810000009;1;94;0;0
355030810000010;1;107;0;0
355030810000011;1;45;1;0
355030810000012;1;60;0;0
355030810000013;1;51;0;0
355030810000014;1;123;0;0
355030810000015;1;125;0;0
355030810000016;1;63;0;0
355030810000017;1;43;0;0
355030810000018;1;141;0;0
355030810000019;1;111;1;0
355030810000020;1;89;1;0
355030810000021;1;37;0;2
355030810000022;1;91;1;0
355030810000023;1;7;0;0
355030810000024;1;86;0;0
355030810000025;1;187;3;0
355030810000026;1;25;0;0
355030810000027;1;49;0;0
355030810000028;1;37;0;0
355030810000029;1;23;0;0
355030810000030;1;36;0;0
355030810000031;1;89;0;0
355030810000032;1;104;2;0
355030810000033;1;69;0;0
355030810000034;1;55;0;0
355030810000035;1;44;0;0
355030810000036;1;39;0;0
355030810000037;1;47;1;0
355030810000038;1;38;0;0
355030810000039;1;67;0;0
355030810000040;1;81;0;0
355030810000041;1;23;0;0
355030810000042;1;51;0;0
355030810000043;1;89;0;0
355030810000044;1;57;0;0
355030810000045;1;113;0;0
355030810000046;1;58;0;0
355030810000047;1;41;0;0
355030810000048;1;39;1;0
355030810000049;1;78;1;0
355030810000050;1;51;1;0
355030810000051;1;17;0;0
355030810000052;1;39;0;0
355030810000053;1;82;0;0
355030810000054;1;85;1;2
355030810000055;1;0;0;0
355030810000056;1;42;0;0
355030811000001;1;150;0;0
355030811000002;1;117;0;0
355030811000003;1;316;0;0
355030811000004;1;166;0;0
355030811000005;1;137;0;0
355030811000006;1;104;0;0
355030811000007;1;150;0;0
355030811000008;1;124;0;1
355030811000009;1;161;0;0
355030811000010;1;179;0;0
355030811000011;1;155;0;0
355030811000012;1;185;0;0
355030811000013;1;87;0;0
355030811000014;1;173;0;2
355030811000015;1;286;0;0
355030811000016;1;109;0;0
355030811000017;1;174;0;0
355030811000018;1;108;0;1
355030811000019;1;106;0;0
355030811000020;1;200;0;0
355030811000021;1;94;0;0
355030811000022;1;198;0;0
355030811000023;1;53;0;0
355030811000024;1;90;0;0
355030811000025;1;89;0;0
355030811000026;1;180;0;0
355030811000027;1;124;0;0
355030811000028;1;36;0;0
355030811000029;1;67;0;2
355030811000030;1;155;0;0
355030811000031;1;151;0;0
355030811000032;1;52;0;0
355030811000033;1;112;0;0
355030811000034;1;84;0;0
355030811000035;1;180;1;0
355030811000036;1;141;0;0
355030811000037;1;31;0;0
355030811000038;1;96;0;0
355030811000039;1;99;0;0
355030811000040;1;78;0;0
355030811000041;1;104;0;2
355030811000042;1;93;0;0
355030811000043;1;113;0;0
355030811000044;1;91;0;0
355030811000045;1;104;1;0
