Cod_setor,Situacao_setor,V022,5a15salarios,15oumais
355030808000028,1,192226,37900,23500
355030808000029,1,483741,218600,55800
355030808000030,1,308033,79200,78300
355030808000031,1,547905,196701,197000
355030808000032,1,211656,73402,26000
355030808000033,1,749807,313345,194501
355030808000034,1,924352,387600,340750
355030808000035,1,328876,157600,21000
355030808000036,1,319345,123682,87200
355030808000037,1,615687,271651,108100
355030808000038,1,184167,70802,0
355030808000039,1,390712,207801,47000
355030808000040,1,400708,134640,54000
355030808000041,1,73719,22600,0
355030808000042,1,341416,10000,77500
355030808000043,1,115473,47600,8000
355030808000044,1,325094,49017,114000
355030808000045,1,400475,209843,8000
355030808000046,1,262449,88100,51000
355030808000047,1,270111,110600,32000
355030808000048,1,322766,128600,61000
355030808000049,1,763065,307900,243000
355030808000050,1,364736,75800,129600
355030808000051,1,223012,27800,138202
355030808000052,1,582128,103700,262204
355030808000053,1,186456,84250,0
355030808000054,1,191608,12700,112002
355030808000055,1,259479,87000,50000
355030808000056,1,85844,43500,10000
355030808000057,1,109780,21420,23000
355030808000058,1,270092,72400,33000
355030808000059,1,89825,9000,8000
