Cod_setor,Situacao_setor,V002,V004,Target_2_10_salarios_per_capita
355030805000116,1,500364,0,65
355030805000117,1,562901,0,71
355030805000118,1,508960,0,48
355030805000119,1,599304,0,66
355030805000120,1,682565,0,96
355030805000121,1,663531,0,86
355030805000122,1,431579,0,52
355030805000123,1,502613,0,38
355030805000124,1,290318,0,36
355030805000125,1,576990,0,44
355030805000126,1,426951,0,27
355030805000127,1,753749,0,60
355030805000128,1,414850,0,31
355030805000129,1,434071,0,34
355030805000130,1,757209,0,52
355030805000131,1,583154,0,38
355030805000132,1,963710,0,105
355030805000133,1,867014,0,93
355030805000134,1,772078,0,78
355030805000135,1,391605,0,54
355030805000136,1,586131,0,83
355030805000137,1,607870,0,71
355030805000138,1,712989,0,77
355030805000139,1,773129,2360,84
355030805000140,1,454184,0,41
355030805000141,1,616201,0,65
355030805000142,1,426211,0,42
355030805000143,1,514948,0,39
355030805000144,1,352667,0,46
355030805000145,1,640317,0,63
355030805000146,1,362187,0,31
355030805000147,1,235995,0,20
355030805000148,1,295697,0,37
355030805000149,1,286642,0,22
355030806000001,1,X,X,0
355030806000002,1,999940,3500,172
355030806000003,1,719516,0,108
355030806000004,1,996979,0,122
355030806000005,1,2333844,0,218
355030806000006,1,661043,0,82
355030806000007,1,174168,0,3
355030806000008,1,355580,0,12
355030806000009,1,599851,0,109
355030806000010,1,841513,0,131
355030806000011,1,731507,0,103
355030806000012,1,1318426,0,153
355030806000013,1,1165157,0,208
355030806000014,1,1088561,0,148
355030806000015,1,5128202,0,366
355030806000016,1,827880,0,111
355030806000017,1,337902,2210,48
355030806000018,1,1054395,0,145
355030806000019,1,1501923,1100,166
355030806000020,1,879046,0,164
355030806000021,1,1949087,0,195
355030806000022,1,1785193,0,178
355030806000023,1,859258,0,127
355030806000024,1,3094387,0,247
355030806000025,1,2285356,0,111
355030806000026,1,326218,0,42
355030806000027,1,265805,0,39
355030806000028,1,4033970,0,245
355030806000029,1,1334706,0,155
355030806000030,1,721464,0,74
355030806000035,1,X,X,0
355030806000037,1,229810,0,25
355030807000001,1,3338916,0,218
355030807000002,1,1484396,22620,180
355030807000003,1,1569313,0,185
355030807000004,1,721499,0,88
355030807000005,1,1540162,0,142
355030807000006,1,1220198,0,167
355030807000007,1,1213079,0,169
355030807000008,1,3035100,0,236
355030807000009,1,2379090,0,209
355030807000010,1,2184382,0,191
355030807000011,1,2207090,1500,208
355030807000012,1,1331136,0,101
355030807000013,1,335896,0,59
355030807000014,1,628124,0,114
355030807000015,1,383871,0,62
355030807000016,1,932438,0,184
355030807000017,1,688680,5800,141
355030807000018,1,1639657,0,246
355030807000019,1,1704297,0,191
355030807000020,1,2078455,0,248
355030807000021,1,1959236,0,147
355030807000022,1,1810666,0,205
355030807000023,1,623182,0,63
355030807000024,1,1809060,0,189
355030807000025,1,1437977,0,148
355030807000026,1,2440275,0,240
355030807000027,1,2485587,0,250
355030807000028,1,2282901,0,132
355030807000029,1,434065,0,36
355030807000030,1,474040,0,68
355030807000031,1,1290286,0,259
355030807000032,1,1280326,0,193
355030807000033,1,786221,900,143
355030807000034,1,627344,0,86
355030807000035,1,397744,0,62
355030807000036,1,440240,0,68
355030807000037,1,500795,0,51
355030807000038,1,353764,0,65
355030807000039,1,512137,0,92
355030807000040,1,608091,0,113
355030807000041,1,380273,0,49
355030807000042,1,409181,0,50
355030807000043,1,1006178,0,195
355030807000044,1,497015,0,60
355030807000045,1,236028,0,31
355030807000046,1,375210,0,82
355030807000047,1,908786,0,143
355030807000048,1,1650840,0,260
355030807000049,1,1424617,0,181
355030807000050,1,2311394,0,212
355030807000051,1,1607211,0,143
355030807000052,1,5721294,0,349
355030807000053,1,691914,0,104
355030807000054,1,3407547,0,368
355030807000055,1,2101413,0,186
355030807000056,1,764330,0,77
355030807000057,1,1855587,0,247
355030807000058,1,1989055,0,184
355030807000059,1,6359496,0,261
355030807000060,1,925955,0,107
355030807000061,1,602950,0,114
